0,0.635,-0.64
0.004,0.68,-1.28
0.008,0.63,-1.92
0.012,0.57,-2.535
0.016,0.535,-2.8
0.02,0.51,-2.9
0.024,0.515,-2.99
0.028,0.52,-3.03
0.032,0.525,-3.025
0.036,0.495,-2.975
0.04,0.43,-2.825
0.044,0.275,-2.565
0.048,0.195,-2.305
0.052,0.2,-2.05
0.056,0.26,-1.835
0.06,0.355,-1.695
0.064,0.37,-1.59
0.068,0.315,-1.465
0.072,0.155,-1.29
0.076,-0.035,-1.075
0.08,-0.17,-0.87
0.084,-0.255,-0.66
0.088,-0.265,-0.535
0.092,-0.29,-0.43
0.096,-0.3,-0.335
0.1,-0.335,-0.22
0.104,-0.365,-0.08
0.108,-0.385,0.015
0.112,-0.355,0.1
0.116,-0.355,0.145
0.12,-0.36,0.14
0.124,-0.34,0.15
0.128,-0.36,0.155
0.132,-0.37,0.165
0.136,-0.35,0.17
0.14,-0.365,0.2
0.144,-0.345,0.215
0.148,-0.365,0.2
0.152,-0.325,0.215
0.156,-0.335,0.22
0.16,-0.345,0.21
0.164,-0.35,0.25
0.168,-0.385,0.235
0.172,-0.355,0.255
0.176,-0.365,0.28
0.18,-0.35,0.275
0.184,-0.35,0.275
0.188,-0.34,0.325
0.192,-0.36,0.305
0.196,-0.36,0.33
0.2,-0.385,0.325
0.204,-0.385,0.345
0.208,-0.39,0.35
0.212,-0.4,0.35
0.216,-0.405,0.385
0.22,-0.375,0.41
0.224,-0.4,0.405
0.228,-0.4,0.425
0.232,-0.41,0.43
0.236,-0.42,0.465
0.24,-0.42,0.485
0.244,-0.43,0.515
0.248,-0.435,0.545
0.252,-0.425,0.53
0.256,-0.44,0.57
0.26,-0.455,0.6
0.264,-0.44,0.61
0.268,-0.44,0.62
0.272,-0.465,0.67
0.276,-0.455,0.69
0.28,-0.445,0.73
0.284,-0.445,0.735
0.288,-0.49,0.75
0.292,-0.45,0.755
0.296,-0.45,0.765
0.3,-0.46,0.78
0.304,-0.445,0.81
0.308,-0.475,0.81
0.312,-0.465,0.82
0.316,-0.445,0.825
0.32,-0.445,0.815
0.324,-0.44,0.85
0.328,-0.435,0.855
0.332,-0.42,0.825
0.336,-0.375,0.84
0.34,-0.405,0.81
0.344,-0.385,0.805
0.348,-0.39,0.8
0.352,-0.35,0.77
0.356,-0.345,0.775
0.36,-0.31,0.72
0.364,-0.3,0.675
0.368,-0.305,0.645
0.372,-0.275,0.595
0.376,-0.28,0.555
0.38,-0.275,0.51
0.384,-0.27,0.46
0.388,-0.26,0.43
0.392,-0.255,0.375
0.396,-0.26,0.325
0.4,-0.21,0.275
0.404,-0.19,0.22
